,ZONA_O,ZONA_D,FE_VIA
0,Jardim Luzitânia,Zaki Narchi,2
1,Gomes Cardim,Jardim Luzitânia,2
2,Parque Santa Madalena,Pacaembu,2
3,Jardim Luzitânia,Vila São Pedro,3
4,Jardim Luzitânia,Vila Socorro,3
5,Pacaembu,Morumbi,3
6,Congonhas,Jardim Luzitânia,3
7,Jardim Luzitânia,Vila Hamburguesa,3
8,Jardim Luzitânia,Vila Guilherme,3
9,Liberdade,Pacaembu,3
10,Jardim Luzitânia,Vila Cordeiro,3
11,Pacaembu,Pirituba,3
12,Centro Empresarial,Pacaembu,3
13,Pacaembu,Liberdade,3
14,Chácara do Piqueri,Pacaembu,3
15,Pacaembu,Coroa,3
16,Parelheiros,Jardim Luzitânia,3
17,Jardim Luzitânia,República,3
18,Jardim Luzitânia,Raposo Tavares,3
19,Carandiru,Vila Guilhermina,3
20,Centro Empresarial,Jardim Luzitânia,3
21,Jardim Luzitânia,Vila Beatriz,3
22,Jardim Luzitânia,Água Branca,3
23,Pacaembu,Paraíso,3
24,Pacaembu,Ponte Rasa,3
25,Pacaembu,Ponte Pequena,3
26,Vila Miranda,Tietê,3
27,Centro Cultural,Santa Cecília,3
28,Parque Peruche,Pacaembu,3
29,Pacaembu,Parque Savoy,3
30,Pacaembu,Parque Peruche,3
31,Vila Ipojuca,Jardim Luzitânia,3
32,Jardim Luzitânia,Pires da Mota,3
33,Pacaembu,Parque Palmas do Tremembé,3
34,Pacaembu,Parque Ibirapuera,3
35,Pires da Mota,Jardim Luzitânia,3
36,Vila Ipojuca,Jardim Bonfiglioli,3
37,Pacaembu,Parque Boturussu,3
38,Tietê,Jardim Europa,3
39,São Carlos do Pinhal,Tietê,3
40,Santa Ifigênia,Jardim Luzitânia,3
41,Pacaembu,Parelheiros,3
42,Parque Anhembi,Coroa,3
43,Jardim Luzitânia,Parque Interlagos,3
44,Pacaembu,Lapa,3
45,Jardim Luzitânia,Parque Edu Chaves,3
46,Alto da Lapa,Vila Miranda,3
47,Tietê,Parque São Jorge,3
48,Jardim Vitória Régia,Masp,3
