id_acidente,cadlogA,nomeA,cadlogB,nomeB,alt_num,referencia,data,hora,CodigoAcidente,dp,bo,automovel,moto,onibus,caminhao,bicicleta,onibus_fretado,onibus_urbano,microonibus,caminhonete,carroca,outros,sem_informacao,ferida,obito,det,distrito,princ_a,princ_b,TipoAcidente,latitude,longitude,geocoding,obstaculo,observacao,ocorrenciaPolicial
D021800002,12326,JUSCELINO KUBITSCHEK, AV  PRES ,     ,,2041,               ,24/02/2018,07:54,com vítima,15 ,1766  ,0,1,0,1,0,0,0,0,0,0,0,0,1,0,SO1,35,12326,,Colisão,-23.5911,-46.6884,,,,
D021800003,18151,SEZEFREDO FAGUNDES, AV  CEL  ,     ,,2223,               ,22/02/2018,16:34,com vítima,20 ,1648  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,CN2,81,18151,,Colisão lateral,-23.4197,-46.5882,,,,
D021800007,10785,JOSE ARTUR NOVA, AV  DR   ,     ,,300,               ,26/02/2018,13:30,atropelamento,22 ,681   ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,LE2,74,10785,,Atropelamento,-23.4903,-46.4377,,,,
D021800010,03454,BOM PASTOR, RUA,     ,,100,               ,23/02/2018,09:44,com vítima,17 ,605   ,0,1,0,0,0,0,0,0,1,0,0,0,1,0,SE2,34,03454,,Colisão lateral,-23.5775,-46.6083,,,,
D021800011,00779,ALMEIDA COUTO, RUA PRES ,05438,COSTA PEREIRA, RUA PRES ,0,               ,14/02/2018,17:10,com vítima,08 ,972   ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,SE2,14,00779,5438,Choque,-23.5646,-46.6078,,PI,,
D021800012,10101,JOAO, AV  S    ,02595,AURORA, RUA,0,               ,12/02/2018,12:36,com vítima,01 ,915   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN3,66,10101,11883,Colisão transversal,-23.5408,-46.6419,,,,
D021800014,63343,GARCIA DE TOLEDO, RUA,     ,,58,               ,12/02/2018,20:34,com vítima,47 ,1403  ,2,1,0,0,0,0,0,0,0,0,0,0,1,0,SO3,19,63343,,Choque,-23.6813,-46.7841,,VE,,
D021800015,09046,IGUATEMI, RUA,     ,,3167,               ,15/02/2018,12:00,com vítima,54 ,898   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO1,35,09046,,Colisão transversal,-23.5816,-46.6835,,,,
D021800017,10879,JOSE DE ALBUQUERQUE MEDEIROS, RUA,     ,,370,               ,22/02/2018,12:37,com vítima,20 ,1629  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,70,10879,,Queda moto/bicicleta,-23.4801,-46.6161,,,,
D021800019,19884,VOLUNTARIOS DA PATRIA, RUA,     ,,4580,               ,23/02/2018,18:00,com vítima,20 ,1848  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,51,19884,,Colisão transversal,-23.4816,-46.6317,,,,
