,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
0,15,1.0,2.0,3.0,5.0,14
1,18,1.0,2.0,2.0,8.0,23
2,31,1.0,1.0,2.0,3.0,10
3,63,1.0,1.0,2.0,5.0,12
4,85,1.0,1.0,1.0,4.0,19
5,88,1.0,1.0,1.0,10.0,27
6,93,1.0,3.0,6.0,13.0,27
7,100,1.0,3.0,3.0,3.0,21
8,148,1.0,1.0,1.0,4.0,19
9,154,1.0,1.0,1.0,3.0,12
10,159,1.0,1.0,2.0,6.0,15
11,169,1.0,1.0,1.0,6.0,17
12,170,1.0,1.0,1.0,3.0,11
13,172,1.0,1.0,2.0,5.0,28
14,183,1.0,1.0,3.0,5.0,14
15,203,1.0,1.0,2.0,6.0,10
16,207,1.0,1.0,6.0,7.0,16
17,208,1.0,2.0,6.0,7.0,16
18,209,2.0,3.0,3.0,7.0,16
19,223,2.0,3.0,3.0,7.0,16
20,227,1.0,1.0,1.0,6.0,13
21,262,1.0,1.0,2.0,7.0,19
22,264,1.0,1.0,2.0,5.0,12
23,286,1.0,1.0,1.0,7.0,23
24,294,1.0,1.0,2.0,5.0,18
25,304,1.0,1.0,1.0,8.0,23
26,311,1.0,3.0,3.0,5.0,13
27,312,2.0,3.0,3.0,5.0,13
28,333,1.0,1.0,4.0,9.0,20
29,334,1.0,2.0,4.0,11.0,37
30,335,1.0,2.0,5.0,9.0,37
31,336,1.0,1.0,2.0,7.0,19
32,337,1.0,3.0,3.0,5.0,10
33,349,1.0,3.0,4.0,6.0,20
34,350,1.0,1.0,2.0,9.0,21
35,356,1.0,2.0,3.0,5.0,21
36,358,1.0,1.0,5.0,11.0,47
37,364,1.0,1.0,3.0,10.0,24
38,371,1.0,2.0,4.0,9.0,25
39,387,1.0,1.0,1.0,4.0,10
40,388,1.0,1.0,2.0,6.0,19
41,436,1.0,1.0,2.0,6.0,22
42,463,1.0,2.0,2.0,5.0,13
43,468,1.0,1.0,1.0,3.0,18
44,473,1.0,1.0,1.0,3.0,9
45,481,1.0,4.0,5.0,7.0,16
46,503,2.0,3.0,4.0,6.0,13
47,504,1.0,2.0,5.0,11.0,37
48,536,1.0,1.0,3.0,8.0,19
49,537,1.0,1.0,1.0,4.0,15
50,546,1.0,2.0,2.0,4.0,29
51,547,1.0,2.0,2.0,4.0,29
52,565,1.0,1.0,3.0,9.0,18
53,585,1.0,1.0,1.0,3.0,15
54,605,1.0,2.0,3.0,8.0,39
55,606,1.0,2.0,3.0,7.0,35
56,610,1.0,1.0,2.0,4.0,14
57,613,1.0,1.0,2.0,4.0,16
58,614,1.0,1.0,2.0,4.0,17
59,624,1.0,1.0,1.0,5.0,10
60,635,1.0,1.0,1.0,1.0,12
61,636,1.0,2.0,3.0,5.0,19
62,650,1.0,1.0,4.0,15.0,39
63,683,1.0,1.0,1.0,1.0,8
64,692,1.0,3.0,5.0,11.0,36
65,693,1.0,1.0,1.0,4.0,19
66,699,1.0,1.0,1.0,2.0,8
67,712,1.0,1.0,1.0,1.0,8
68,772,2.0,3.0,3.0,6.0,10
69,773,1.0,1.0,2.0,8.0,16
70,777,1.0,1.0,1.0,3.0,8
71,778,1.0,1.0,1.0,3.0,8
72,791,1.0,1.0,1.0,3.0,13
73,819,1.0,1.0,3.0,5.0,15
74,828,2.0,3.0,5.0,6.0,9
75,830,1.0,3.0,3.0,5.0,15
76,837,1.0,3.0,4.0,8.0,9
77,845,1.0,1.0,1.0,3.0,12
78,867,1.0,4.0,5.0,7.0,16
79,897,1.0,1.0,1.0,6.0,22
80,2,0.0,1.0,2.0,3.0,17
81,9,0.0,1.0,1.0,5.0,21
82,13,0.0,1.0,1.0,11.0,26
83,28,0.0,1.0,2.0,2.0,12
84,32,0.0,1.0,3.0,6.0,17
85,34,0.0,1.0,1.0,11.0,25
86,35,0.0,1.0,2.0,4.0,19
87,38,0.0,1.0,2.0,6.0,20
88,47,0.0,1.0,2.0,4.0,10
89,60,0.0,1.0,3.0,5.0,14
90,61,0.0,1.0,1.0,1.0,4
91,70,0.0,1.0,1.0,2.0,15
92,71,0.0,1.0,1.0,3.0,15
93,73,0.0,1.0,2.0,4.0,12
94,77,0.0,1.0,2.0,8.0,23
95,91,0.0,1.0,2.0,3.0,13
96,96,0.0,1.0,1.0,1.0,14
97,97,0.0,1.0,1.0,2.0,26
98,98,0.0,2.0,3.0,4.0,9
99,103,0.0,1.0,1.0,2.0,7
100,127,0.0,1.0,1.0,6.0,10
101,142,0.0,1.0,1.0,9.0,15
102,143,0.0,2.0,2.0,8.0,19
103,145,0.0,1.0,1.0,6.0,12
104,162,0.0,1.0,1.0,5.0,14
105,164,0.0,1.0,1.0,8.0,26
106,165,0.0,1.0,4.0,9.0,21
107,176,0.0,1.0,1.0,3.0,18
108,190,0.0,1.0,1.0,4.0,19
109,191,0.0,1.0,1.0,4.0,19
110,204,0.0,1.0,2.0,6.0,10
111,205,0.0,1.0,2.0,6.0,12
112,214,0.0,1.0,1.0,4.0,12
113,215,0.0,1.0,2.0,6.0,12
114,216,0.0,1.0,1.0,2.0,8
115,222,0.0,1.0,2.0,4.0,15
116,229,0.0,2.0,4.0,4.0,9
117,232,0.0,1.0,4.0,4.0,10
118,238,0.0,1.0,1.0,2.0,11
119,241,0.0,1.0,2.0,2.0,13
120,245,0.0,1.0,1.0,4.0,11
121,249,0.0,1.0,2.0,6.0,23
122,250,0.0,1.0,2.0,7.0,21
123,255,0.0,1.0,3.0,10.0,17
124,256,0.0,1.0,1.0,3.0,14
125,270,0.0,1.0,3.0,6.0,23
126,273,0.0,2.0,3.0,10.0,32
127,280,0.0,2.0,3.0,9.0,32
128,285,0.0,1.0,2.0,7.0,23
129,287,0.0,2.0,3.0,8.0,23
130,298,0.0,1.0,4.0,10.0,42
131,307,0.0,1.0,4.0,13.0,41
132,308,0.0,1.0,2.0,5.0,17
133,324,0.0,2.0,3.0,13.0,41
134,326,0.0,1.0,3.0,5.0,14
135,327,0.0,2.0,2.0,2.0,20
136,328,0.0,2.0,2.0,3.0,20
137,329,0.0,1.0,3.0,5.0,21
138,338,0.0,1.0,1.0,7.0,20
139,339,0.0,1.0,2.0,3.0,14
140,340,0.0,1.0,1.0,4.0,16
141,341,0.0,1.0,1.0,2.0,15
142,342,0.0,1.0,2.0,2.0,14
143,368,0.0,1.0,1.0,5.0,14
144,369,0.0,1.0,1.0,5.0,12
145,372,0.0,1.0,1.0,7.0,13
146,377,0.0,1.0,1.0,3.0,10
147,396,0.0,1.0,2.0,6.0,19
148,402,0.0,1.0,1.0,4.0,19
149,418,0.0,1.0,2.0,5.0,11
150,420,0.0,1.0,1.0,4.0,19
151,421,0.0,2.0,3.0,7.0,17
152,424,0.0,1.0,2.0,4.0,19
153,426,0.0,1.0,2.0,6.0,15
154,434,0.0,2.0,2.0,4.0,9
155,444,0.0,1.0,2.0,4.0,22
156,449,0.0,1.0,2.0,5.0,14
157,450,0.0,3.0,3.0,9.0,13
158,452,0.0,1.0,1.0,3.0,9
159,478,0.0,2.0,3.0,4.0,17
160,509,0.0,1.0,2.0,2.0,16
161,541,0.0,4.0,5.0,8.0,14
162,543,0.0,1.0,2.0,5.0,19
163,548,0.0,2.0,3.0,6.0,15
164,551,0.0,1.0,5.0,11.0,38
165,553,0.0,2.0,2.0,9.0,25
166,559,0.0,1.0,1.0,7.0,17
167,569,0.0,1.0,2.0,10.0,35
168,571,0.0,1.0,3.0,6.0,12
169,572,0.0,1.0,5.0,12.0,36
170,573,0.0,1.0,3.0,6.0,38
171,576,0.0,1.0,1.0,2.0,6
172,581,0.0,1.0,2.0,3.0,11
173,586,0.0,1.0,2.0,6.0,19
174,587,0.0,1.0,3.0,5.0,27
175,599,0.0,1.0,1.0,1.0,8
176,600,0.0,1.0,1.0,2.0,8
177,601,0.0,1.0,1.0,5.0,16
178,618,0.0,1.0,2.0,4.0,17
179,619,0.0,1.0,3.0,4.0,18
180,625,0.0,1.0,3.0,3.0,16
181,628,0.0,1.0,1.0,8.0,18
182,638,0.0,1.0,3.0,6.0,12
183,642,0.0,1.0,3.0,8.0,19
184,644,0.0,1.0,2.0,7.0,27
185,646,0.0,1.0,2.0,5.0,14
186,649,0.0,1.0,2.0,3.0,15
187,659,0.0,1.0,5.0,12.0,33
188,661,0.0,1.0,1.0,3.0,14
189,665,0.0,4.0,5.0,8.0,15
190,666,0.0,1.0,2.0,6.0,24
191,672,0.0,1.0,4.0,7.0,15
192,678,0.0,2.0,2.0,2.0,15
193,679,0.0,1.0,1.0,2.0,7
194,685,0.0,1.0,1.0,5.0,19
195,690,0.0,1.0,2.0,5.0,17
196,691,0.0,3.0,6.0,16.0,43
197,696,0.0,1.0,1.0,3.0,18
198,697,0.0,1.0,2.0,5.0,19
199,698,0.0,4.0,6.0,14.0,38
200,706,0.0,2.0,3.0,6.0,17
201,711,0.0,1.0,1.0,2.0,7
202,716,0.0,1.0,4.0,8.0,16
203,721,0.0,1.0,7.0,8.0,17
204,723,0.0,1.0,1.0,8.0,16
205,725,0.0,1.0,2.0,6.0,33
206,726,0.0,1.0,1.0,1.0,16
207,732,0.0,2.0,4.0,4.0,9
208,734,0.0,1.0,2.0,4.0,16
209,742,0.0,1.0,2.0,4.0,7
210,745,0.0,3.0,4.0,5.0,15
211,754,0.0,1.0,3.0,5.0,18
212,755,0.0,1.0,2.0,4.0,10
213,756,0.0,1.0,2.0,5.0,10
214,759,0.0,1.0,1.0,3.0,3
215,760,0.0,1.0,3.0,3.0,12
216,769,0.0,1.0,1.0,7.0,17
217,774,0.0,1.0,2.0,8.0,16
218,776,0.0,3.0,3.0,7.0,15
219,779,0.0,1.0,1.0,5.0,14
220,792,0.0,1.0,1.0,2.0,13
221,794,0.0,3.0,4.0,8.0,17
222,795,0.0,1.0,2.0,5.0,16
223,801,0.0,1.0,1.0,7.0,17
224,816,0.0,1.0,1.0,2.0,17
225,820,0.0,2.0,4.0,9.0,18
226,825,0.0,2.0,3.0,8.0,15
227,826,0.0,1.0,1.0,4.0,11
228,836,0.0,1.0,1.0,5.0,12
229,846,0.0,2.0,3.0,8.0,11
230,852,0.0,1.0,6.0,8.0,13
231,853,0.0,1.0,2.0,3.0,11
