,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
0,117,1.0,1.0,2.0,5.0,21
1,304,1.0,1.0,2.0,10.0,35
2,25,0.0,1.0,1.0,6.0,17
3,72,0.0,1.0,2.0,7.0,19
4,74,0.0,1.0,2.0,7.0,19
5,92,0.0,1.0,1.0,6.0,24
6,116,0.0,1.0,1.0,6.0,20
7,129,0.0,2.0,4.0,7.0,18
8,247,0.0,1.0,3.0,8.0,25
9,363,0.0,1.0,1.0,2.0,10
10,365,0.0,1.0,1.0,4.0,9
11,370,0.0,1.0,5.0,7.0,22
12,465,0.0,1.0,2.0,9.0,30
13,466,0.0,1.0,3.0,15.0,43
14,468,0.0,1.0,3.0,12.0,26
15,622,0.0,1.0,4.0,7.0,16
16,626,0.0,1.0,2.0,6.0,16
17,814,0.0,1.0,3.0,7.0,15
18,912,0.0,1.0,2.0,4.0,17
19,26,0.0,0.0,1.0,3.0,18
20,28,0.0,0.0,2.0,6.0,10
21,32,0.0,0.0,2.0,3.0,8
22,86,0.0,0.0,2.0,4.0,19
23,87,0.0,0.0,3.0,6.0,21
24,88,0.0,0.0,1.0,5.0,20
25,89,0.0,0.0,1.0,4.0,17
26,115,0.0,0.0,6.0,13.0,27
27,139,0.0,0.0,2.0,8.0,28
28,305,0.0,0.0,1.0,7.0,14
29,366,0.0,0.0,2.0,4.0,20
30,367,0.0,0.0,2.0,4.0,20
31,368,0.0,0.0,1.0,3.0,10
32,371,0.0,0.0,1.0,3.0,37
33,469,0.0,0.0,1.0,4.0,15
34,491,0.0,0.0,1.0,5.0,22
35,492,0.0,0.0,2.0,5.0,23
36,567,0.0,0.0,2.0,6.0,16
37,571,0.0,0.0,1.0,1.0,6
38,638,0.0,0.0,1.0,1.0,6
39,887,0.0,0.0,1.0,1.0,6
40,900,0.0,0.0,1.0,9.0,21
41,902,0.0,0.0,1.0,5.0,9
42,903,0.0,0.0,1.0,2.0,13
43,904,0.0,0.0,1.0,2.0,13
44,107,0.0,0.0,0.0,1.0,8
45,108,0.0,0.0,0.0,1.0,8
46,237,0.0,0.0,0.0,1.0,8
47,364,0.0,0.0,0.0,4.0,39
48,369,0.0,0.0,0.0,3.0,10
49,463,0.0,0.0,0.0,3.0,11
50,493,0.0,0.0,0.0,2.0,11
51,582,0.0,0.0,0.0,6.0,16
52,899,0.0,0.0,0.0,1.0,14
53,901,0.0,0.0,0.0,2.0,19
54,464,0.0,0.0,0.0,0.0,7
