id_radar,id_acidente_500m,id_acidente_1000m,id_acidente_2000m
492,D021800010,D021800010,D021800010
492,D021800010,D021800010,D021800011
492,D021800010,D021800010,D021800224
492,D021800010,D021800010,D021800529
492,D021800010,D021800010,D021800728
492,D021800010,D021800010,D021800735
492,D021800010,D021800010,D021800855
492,D021800010,D021800010,D021800992
492,D021800010,D021800010,D021801052
492,D021800010,D021800010,D021801372
492,D021800010,D021800010,D021801514
492,D021800010,D021800010,D021801616
492,D021800010,D021800010,D021801661
492,D021800010,D021800010,D021801905
492,D021800010,D021800010,D021802100
492,D021800010,D021800010,D021802184
492,D021800010,D021800010,D021802185
492,D021800010,D021800010,D021802223
492,D021800010,D021800010,D021802251
492,D021800010,D021800010,D021802421
492,D021800010,D021800010,D021802768
492,D021800010,D021800010,D021802894
492,D021800010,D021800010,D021802939
492,D021800010,D021800224,D021800010
492,D021800010,D021800224,D021800011
492,D021800010,D021800224,D021800224
492,D021800010,D021800224,D021800529
492,D021800010,D021800224,D021800728
492,D021800010,D021800224,D021800735
492,D021800010,D021800224,D021800855
492,D021800010,D021800224,D021800992
492,D021800010,D021800224,D021801052
492,D021800010,D021800224,D021801372
492,D021800010,D021800224,D021801514
492,D021800010,D021800224,D021801616
492,D021800010,D021800224,D021801661
492,D021800010,D021800224,D021801905
492,D021800010,D021800224,D021802100
492,D021800010,D021800224,D021802184
492,D021800010,D021800224,D021802185
492,D021800010,D021800224,D021802223
492,D021800010,D021800224,D021802251
492,D021800010,D021800224,D021802421
492,D021800010,D021800224,D021802768
492,D021800010,D021800224,D021802894
492,D021800010,D021800224,D021802939
492,D021800010,D021800529,D021800010
492,D021800010,D021800529,D021800011
492,D021800010,D021800529,D021800224
492,D021800010,D021800529,D021800529
492,D021800010,D021800529,D021800728
492,D021800010,D021800529,D021800735
492,D021800010,D021800529,D021800855
492,D021800010,D021800529,D021800992
492,D021800010,D021800529,D021801052
492,D021800010,D021800529,D021801372
492,D021800010,D021800529,D021801514
492,D021800010,D021800529,D021801616
492,D021800010,D021800529,D021801661
492,D021800010,D021800529,D021801905
492,D021800010,D021800529,D021802100
492,D021800010,D021800529,D021802184
492,D021800010,D021800529,D021802185
492,D021800010,D021800529,D021802223
492,D021800010,D021800529,D021802251
492,D021800010,D021800529,D021802421
492,D021800010,D021800529,D021802768
492,D021800010,D021800529,D021802894
492,D021800010,D021800529,D021802939
492,D021800010,D021802251,D021800010
492,D021800010,D021802251,D021800011
492,D021800010,D021802251,D021800224
492,D021800010,D021802251,D021800529
492,D021800010,D021802251,D021800728
492,D021800010,D021802251,D021800735
492,D021800010,D021802251,D021800855
492,D021800010,D021802251,D021800992
492,D021800010,D021802251,D021801052
492,D021800010,D021802251,D021801372
492,D021800010,D021802251,D021801514
492,D021800010,D021802251,D021801616
492,D021800010,D021802251,D021801661
492,D021800010,D021802251,D021801905
492,D021800010,D021802251,D021802100
492,D021800010,D021802251,D021802184
492,D021800010,D021802251,D021802185
492,D021800010,D021802251,D021802223
492,D021800010,D021802251,D021802251
492,D021800010,D021802251,D021802421
492,D021800010,D021802251,D021802768
492,D021800010,D021802251,D021802894
492,D021800010,D021802251,D021802939
492,D021800010,D021802894,D021800010
492,D021800010,D021802894,D021800011
492,D021800010,D021802894,D021800224
492,D021800010,D021802894,D021800529
492,D021800010,D021802894,D021800728
492,D021800010,D021802894,D021800735
492,D021800010,D021802894,D021800855
492,D021800010,D021802894,D021800992
492,D021800010,D021802894,D021801052
492,D021800010,D021802894,D021801372
492,D021800010,D021802894,D021801514
492,D021800010,D021802894,D021801616
492,D021800010,D021802894,D021801661
492,D021800010,D021802894,D021801905
492,D021800010,D021802894,D021802100
