,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
21136,D021600001,-23.51882,-46.67812,AV MARQ DE SAO VICENTE,nan,2016-02-06 16:00:00,2,Colisao traseira,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21137,D021600002,-23.61996,-46.63688,AV MIGUEL ESTEFANO,RUA PARANAPANEMA,2016-02-25 00:12:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21138,D021600003,-23.636120000000002,-46.769259999999996,ESTRADA DO CAMPO LIMPO,RUA JOAO BERNARDO VIEIRA,2016-02-06 21:10:00,2,Choque,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21139,D021600004,-23.53293,-46.64228,RUA HELVETIA,nan,2016-02-19 09:50:00,4,Atropelamento,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21140,D021600005,-23.52978,-46.74746,AV DAS NACOES UNIDAS,nan,2016-02-09 23:20:00,2,Colisao,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
21141,D021600006,-23.60332,-46.52644,AV DO ORATORIO,nan,2016-02-29 21:30:00,2,Colisao,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21142,D021600007,-23.64855,-46.761520000000004,ESTRADA DO CAMPO LIMPO,nan,2016-02-11 17:45:00,4,Atropelamento,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21143,D021600008,-23.4695,-46.68254,RUA ESTEVAO DE SIQUEIRA,nan,2016-02-14 03:00:00,2,Colisao,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21144,D021600009,-23.5079,-46.5338,AV CANGAIBA,nan,2016-02-21 22:30:00,4,Atropelamento,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21145,D021600010,-23.76943,-46.69957,AV ANTONIO CARLOS B.DOS STO(COCAI,nan,2016-02-27 15:33:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
