record_id,Tipo de Vítima,Idade,Condição,driverVitima_id,Veículo,Gênero,Faixa
aa764c6f-0427-4cae-b670-76784831d35e,Condutor,61,Morto,e7baa9ed-26d5-4293-8e98-ca5926abed96,561a6abf-6fb1-4970-aed6-563abbdaa50b,Masculino,60 ou mais
aa764c6f-0427-4cae-b670-76784831d35e,Condutor,46,Ferido,4125e6b4-6a4a-4c63-a365-d4bc321c1995,32f21a14-32ef-443f-8adf-a9431d4a0e74,Feminino,30 a 59
d8ee88fc-5370-4ec4-b446-585885a47d9b,Condutor,37,Ferido,706c6288-671d-486f-ac46-1a773e575ac5,32e5856a-8c4b-4847-809a-180394592195,Masculino,30 a 59
d8ee88fc-5370-4ec4-b446-585885a47d9b,Condutor,27,Ferido,eada56b6-60d6-48bb-9cb9-39fd06131a88,1cbf70de-dd61-48c4-8bf4-5d5b81646f5d,Masculino,25 a 29
d8ee88fc-5370-4ec4-b446-585885a47d9b,Condutor,20,Ferido,f33a5b76-c1cc-4a2f-94b6-466e8a6f6ff2,1cbf70de-dd61-48c4-8bf4-5d5b81646f5d,Masculino,20 a 24
e72118d2-d5ea-49f3-b855-9921133a2b1e,Condutor,33,Ferido,dcd5e559-84bd-456d-b78a-9c4ec5fd279a,c3fe16da-1115-4c7e-b00c-274e8262c459,Masculino,30 a 59
2ce95055-5b50-49c3-a07e-6127b8421cdc,Condutor,21,Ferido,e0683cc6-1ccc-48d8-b191-579ba18ea328,9de292d4-554e-4991-b8b6-08b9c26ed83c,Masculino,20 a 24
bcdf44c1-471e-4c5d-8119-8ed8e0c60032,Condutor,14,Ferido,7f93aeef-9419-434f-8a3a-ebd3e167c286,0f596cda-7630-44b8-87dc-e729c30e7a57,Masculino,11 a 14
c4273f71-2fb6-47a8-8d1d-253d092e816a,Condutor,56,Ferido,d1e6b430-9e5e-4b00-ad6a-a07a6ef8d6b4,7d7ec3fa-0e84-4f1a-be8d-77336e01f608,Masculino,30 a 59
88602bbb-5fbf-49e0-afdf-3b21917b81cf,Condutor,11,Ferido,cb451a05-a5a3-4fd0-b63b-c281ca69f0de,bb57f9ee-5da8-451a-90b0-6a87a5b483dc,Masculino,11 a 14
e5be19af-1e6e-4fc2-a840-e527b9052037,Condutor,14,Ferido,2ff82a7d-900f-4fe5-97d5-2df54aff38a7,c22448b0-e4c7-47f9-95aa-dfd4bd7d2a20,Masculino,11 a 14
e5be19af-1e6e-4fc2-a840-e527b9052037,Condutor,12,Ferido,6fcc8010-d439-4703-8cc8-74c352a7712e,c22448b0-e4c7-47f9-95aa-dfd4bd7d2a20,Masculino,11 a 14
1fd8e9e1-9da0-4363-ade7-4c0795bf90e1,Condutor,17,Ferido,348d7cd7-f9ef-448c-880a-b540e7899951,50275c03-4b09-4ed0-859a-ca3b845e09d6,Masculino,15 a 17
4590167f-6876-4758-b60a-ea477b87ff31,Condutor,42,Morto,2662b5b1-dcb2-4e02-8f1f-b53e6ee53cd6,9d2eb75e-b7e5-4d48-a160-35790d9eb7cb,Masculino,30 a 59
7e7ca6f0-7536-4a60-8c8a-5dee544ca355,Condutor,12,Morto,63b7bfe2-4d80-4257-958c-4269688424b4,8b23c221-60a8-46e8-9b9e-dda34249f3a0,Masculino,11 a 14
9866032a-4159-4dc0-9e7c-103482f2bac6,Condutor,32,Ferido,27e77bd8-58ce-4669-be3d-6b06ed616419,e9f725f1-cdba-48d6-9acf-8e4142ebd6c1,Feminino,30 a 59
64dc316d-ab8c-4898-9634-e7409598d19a,Condutor,34,Ferido,e23fa0ec-b36f-4d4c-9ca6-13fdcb94a0f0,163d4ce3-b2b5-434d-ae28-87c49ce75ac9,Masculino,30 a 59
