record_id,created,modified,occurred_from,occurred_to,lat,lon,location_text,city,city_district,county,neighborhood,road,state,weather,light,Veículos,Mortos,Endereço,Severidade,Vítimas,Tipo de Acidente,driverIncidenteDetails_id,Feridos,Subprefeitura,acidente_id,Distrito,Acidente
,2019-06-11T18:21:58.557050+00:00,2019-06-11T18:21:58.557102+00:00,2018-12-27T15:15:00+00:00,2018-12-27T15:15:00+00:00,-23.509,-46.5459,None,None,None,None,None,None,None,None,None,2,1,R ILHA DE TUPINAMBARANAS,Vítimas Fatais,2,Colisão,c47d9d5a-b2a6-4a0f-92c6-bc84c31d4bc8,1,,D121800085,,Colisão
,2019-06-11T18:23:57.189332+00:00,2019-06-11T18:23:57.189384+00:00,2018-12-25T19:20:00+00:00,2018-12-25T19:20:00+00:00,-23.5471,-46.4262,None,None,None,None,None,None,None,None,None,2,0,R STA TARCILIA,Vítimas Feridas,3,Colisão,037c3fe6-9d88-4d91-a3e2-819fca454f12,3,,D121801446,,Colisão
,2019-06-11T18:26:01.734966+00:00,2019-06-11T18:26:01.735017+00:00,2018-12-25T18:00:00+00:00,2018-12-25T18:00:00+00:00,-23.6127,-46.4924,None,None,None,None,None,None,None,None,None,2,0,R JOAO PERES CALHAMARES,Vítimas Feridas,1,Colisão,a4f98f33-33bd-4998-ad0b-e86bfe703d1b,1,,D121803231,,Colisão
,2019-06-11T18:23:23.990738+00:00,2019-06-11T18:23:23.990775+00:00,2018-12-25T17:23:00+00:00,2018-12-25T17:23:00+00:00,-23.5691,-46.6504,None,None,None,None,None,None,None,None,None,2,0,AV BRIG LUIS ANTONIO,Vítimas Feridas,1,Colisão,6b396ddf-ac00-4dfd-8c09-c1e97257df88,1,,D121800997,,Colisão
,2019-06-11T18:22:18.942023+00:00,2019-06-11T18:22:18.942060+00:00,2018-12-25T01:03:00+00:00,2018-12-25T01:03:00+00:00,-23.5082,-46.3784,None,None,None,None,None,None,None,None,None,2,0,R JOAO DE DEUS MORAIS,Vítimas Feridas,1,Colisão,8c42d0d4-b4aa-4395-a692-361cf32ee858,1,,D121800297,,Colisão
,2019-06-11T18:24:18.122958+00:00,2019-06-11T18:24:18.122990+00:00,2018-12-22T09:25:00+00:00,2018-12-22T09:25:00+00:00,-23.7644,-46.716,None,None,None,None,None,None,None,None,None,2,0,R LUIZ SUPERTTI,Vítimas Feridas,1,Colisão,3ef6563b-67e3-4656-81da-026f45a140c8,1,,D121801740,,Colisão
,2019-06-11T18:24:16.582170+00:00,2019-06-11T18:24:16.582200+00:00,2018-12-21T20:30:00+00:00,2018-12-21T20:30:00+00:00,-23.5966,-46.519,None,None,None,None,None,None,None,None,None,2,0,R ANTONIO PEREIRA PEGAS,Vítimas Feridas,1,Colisão,5dc3172d-30de-42d0-8042-527977cb86e2,1,,D121801721,,Colisão
,2019-06-11T18:23:00.175162+00:00,2019-06-11T18:23:00.175215+00:00,2018-12-20T21:30:00+00:00,2018-12-20T21:30:00+00:00,-23.4691,-46.5747,None,None,None,None,None,None,None,None,None,2,0,R LOPES DA COSTA,Vítimas Feridas,2,Colisão,6bb05510-8014-40e5-93fc-409712bc345a,2,,D121800718,,Colisão
,2019-06-11T18:23:42.214403+00:00,2019-06-11T18:23:42.214453+00:00,2018-12-20T19:24:00+00:00,2018-12-20T19:24:00+00:00,-23.4469,-46.7377,None,None,None,None,None,None,None,None,None,2,0,R ANTONIO DE CABEZON,Vítimas Feridas,1,Colisão,d2235a11-3435-4108-b198-702f097e348f,1,,D121801221,,Colisão
,2019-06-11T18:24:26.560532+00:00,2019-06-11T18:24:26.560585+00:00,2018-12-19T22:00:00+00:00,2018-12-19T22:00:00+00:00,-23.598,-46.4451,None,None,None,None,None,None,None,None,None,2,1,R PEDRO DA ESPERANCA,Vítimas Fatais,1,Colisão,6ba33f8e-85aa-49d0-8dab-33b91eb8e088,0,,D121801859,,Colisão
,2019-06-11T18:25:24.392678+00:00,2019-06-11T18:25:24.392729+00:00,2018-12-19T19:10:00+00:00,2018-12-19T19:10:00+00:00,-23.6166,-46.4778,None,None,None,None,None,None,None,None,None,2,1,R GUILHERME SANDEVILLE,Vítimas Fatais,1,Colisão,09609fc0-6c5c-49da-842a-4fef82f0bb0b,0,,D121802635,,Colisão
,2019-06-11T18:24:35.024148+00:00,2019-06-11T18:24:35.024200+00:00,2018-12-19T18:30:00+00:00,2018-12-19T18:30:00+00:00,-23.6152,-46.696,None,None,None,None,None,None,None,None,None,2,0,AV DR CHUCRI ZAIDAN,Vítimas Feridas,1,Colisão,3305d97a-06ba-4673-81cb-715d0417bb77,1,,D121801952,,Colisão
,2019-06-11T18:25:56.256826+00:00,2019-06-11T18:25:56.256878+00:00,2018-12-19T15:48:00+00:00,2018-12-19T15:48:00+00:00,-23.5318,-46.6613,None,None,None,None,None,None,None,None,None,2,0,PC ANTONIO CINEL,Vítimas Feridas,1,Colisão,4b49fcc7-300a-4342-974c-c2a15947ea8b,1,,D121803126,,Colisão
,2019-06-11T18:23:14.641220+00:00,2019-06-11T18:23:14.641271+00:00,2018-12-18T11:30:00+00:00,2018-12-18T11:30:00+00:00,-23.5484,-46.6209,None,None,None,None,None,None,None,None,None,2,0,R TORQUATO NETO,Vítimas Feridas,1,Colisão,f399bbbd-cebd-4084-a091-12c33a0e3954,1,,D121800858,,Colisão
,2019-06-11T18:24:37.925643+00:00,2019-06-11T18:24:37.925695+00:00,2018-12-18T11:26:00+00:00,2018-12-18T11:26:00+00:00,-23.5724,-46.6504,None,None,None,None,None,None,None,None,None,3,0,R MARIA FIGUEIREDO,Vítimas Feridas,1,Choque,89c5d164-0407-455e-b263-2d1474b868f3,1,,D121802005,,Choque
,2019-06-11T18:24:10.522017+00:00,2019-06-11T18:24:10.522071+00:00,2018-12-18T01:30:00+00:00,2018-12-18T01:30:00+00:00,-23.4944,-46.6919,None,None,None,None,None,None,None,None,None,2,0,AV MIGUEL CONEJO,Vítimas Feridas,1,Atropelamento,848fa40c-519b-474d-8fc3-d9bcda6a7752,1,,D121801644,,Atropelamento
,2019-06-11T18:23:03.108600+00:00,2019-06-11T18:23:03.108652+00:00,2018-12-16T22:21:00+00:00,2018-12-16T22:21:00+00:00,-23.5289,-46.5322,None,None,None,None,None,None,None,None,None,2,0,R PANHAMES,Vítimas Feridas,1,Atropelamento,3bae8d3e-f170-4c14-8dcb-f4e1a0f8c0e3,1,,D121800760,,Atropelamento
,2019-06-11T18:25:07.185597+00:00,2019-06-11T18:25:07.185649+00:00,2018-12-16T02:40:00+00:00,2018-12-16T02:40:00+00:00,-23.4993,-46.6441,None,None,None,None,None,None,None,None,None,2,0,R MARIA CURUPAITI,Vítimas Feridas,1,Colisão,8e00950b-210c-47c8-912a-618122e25f77,1,,D121802411,,Colisão
,2019-06-11T18:21:56.775349+00:00,2019-06-11T18:21:56.775379+00:00,2018-12-15T00:15:00+00:00,2018-12-15T00:15:00+00:00,-23.5545,-46.6245,None,None,None,None,None,None,None,None,None,2,0,AV DO ESTADO,Vítimas Feridas,1,Colisão,add57335-703b-4b48-90b4-419976d2723a,1,,D121800063,,Colisão
,2019-06-11T18:24:24.796799+00:00,2019-06-11T18:24:24.796852+00:00,2018-12-14T13:00:00+00:00,2018-12-14T13:00:00+00:00,-23.5655,-46.6869,None,None,None,None,None,None,None,None,None,2,0,R ARTUR DE AZEVEDO,Vítimas Feridas,1,Colisão,dc79d940-98d2-4f4e-8958-f351e8ef064a,1,,D121801838,,Colisão
,2019-06-11T18:25:36.965529+00:00,2019-06-11T18:25:36.965585+00:00,2018-12-14T12:25:00+00:00,2018-12-14T12:25:00+00:00,-23.655,-46.7604,None,None,None,None,None,None,None,None,None,2,0,ES DE ITAPECERICA,Vítimas Feridas,1,Colisão,4a5e0eb5-528b-4869-b2b9-1d61959db391,1,,D121802841,,Colisão
,2019-06-11T18:23:32.865408+00:00,2019-06-11T18:23:32.865436+00:00,2018-12-13T21:30:00+00:00,2018-12-13T21:30:00+00:00,-23.518,-46.6281,None,None,None,None,None,None,None,None,None,2,0,R VOLUNTARIOS DA PATRIA,Vítimas Feridas,1,Colisão,e24e216f-03ab-40ba-9e46-16ebf6abbcf7,1,,D121801104,,Colisão
,2019-06-11T18:23:43.127263+00:00,2019-06-11T18:23:43.127316+00:00,2018-12-13T09:40:00+00:00,2018-12-13T09:40:00+00:00,-23.6221,-46.6011,None,None,None,None,None,None,None,None,None,2,0,R VERGUEIRO,Vítimas Feridas,1,Colisão,6eed74d4-f590-45c3-91a1-c20ecdb54ec8,1,,D121801240,,Colisão
,2019-06-11T18:25:33.127529+00:00,2019-06-11T18:25:33.127582+00:00,2018-12-12T21:52:00+00:00,2018-12-12T21:52:00+00:00,-23.4809,-46.7641,None,None,None,None,None,None,None,None,None,3,0,,Vítimas Feridas,1,Choque,14687965-5a01-4a90-a430-1b66942366df,1,,D121802777,,Choque
,2019-06-11T18:24:06.630898+00:00,2019-06-11T18:24:06.630952+00:00,2018-12-12T20:30:00+00:00,2018-12-12T20:30:00+00:00,-23.5363,-46.6402,None,None,None,None,None,None,None,None,None,2,0,R GAL OSORIO,Vítimas Feridas,1,Colisão,f9486e2d-755d-42a6-91b1-7e891fa4e085,1,,D121801592,,Colisão
,2019-06-11T18:23:56.954935+00:00,2019-06-11T18:23:56.954972+00:00,2018-12-12T16:30:00+00:00,2018-12-12T16:30:00+00:00,-23.5844,-46.675,None,None,None,None,None,None,None,None,None,1,0,R JOAQUIM FLORIANO,Vítimas Feridas,1,Atropelamento,4d12237b-73c7-4e49-bed3-ef8f0b060e1f,1,,D121801444,,Atropelamento
,2019-06-11T18:24:23.871817+00:00,2019-06-11T18:24:23.871870+00:00,2018-12-11T18:07:00+00:00,2018-12-11T18:07:00+00:00,-23.6259,-46.6869,None,None,None,None,None,None,None,None,None,2,0,AV STO AMARO,Vítimas Feridas,1,Colisão,3f3887b2-c6ed-42f2-92d6-d34a1acd2846,1,,D121801830,,Colisão
,2019-06-11T18:25:47.419159+00:00,2019-06-11T18:25:47.419211+00:00,2018-12-10T19:15:00+00:00,2018-12-10T19:15:00+00:00,-23.6471,-46.6398,None,None,None,None,None,None,None,None,None,2,0,R DOS COMERCIARIOS,Vítimas Feridas,1,Colisão,51ed7663-d51f-4ef2-b6ef-aa85817d1ff6,1,,D121802977,,Colisão
,2019-06-11T18:26:04.625689+00:00,2019-06-11T18:26:04.625741+00:00,2018-12-10T19:00:00+00:00,2018-12-10T19:00:00+00:00,-23.5491,-46.6288,None,None,None,None,None,None,None,None,None,2,0,VD VINTE E CINCO DE MARCO,Vítimas Feridas,1,Colisão,e0e34ed3-4797-4f85-994a-1b2a49c10012,1,,D121803304,,Colisão
,2019-06-11T18:25:53.246502+00:00,2019-06-11T18:25:53.246530+00:00,2018-12-09T17:00:00+00:00,2018-12-09T17:00:00+00:00,-23.5304,-46.6675,None,None,None,None,None,None,None,None,None,1,0,R MIN GODOI,Vítimas Feridas,1,Sem informações,29085ee1-8b4b-4daa-b729-332b6247ec65,1,,D121803058,,Sem informações
,2019-06-11T18:23:29.866687+00:00,2019-06-11T18:23:29.866716+00:00,2018-12-09T13:57:00+00:00,2018-12-09T13:57:00+00:00,-23.6637,-46.7679,None,None,None,None,None,None,None,None,None,2,1,R URIAS ANTONIO DE SOUZA,Vítimas Fatais,1,Colisão,e3c312b7-4ace-43e6-a225-c9a11182e71b,0,,D121801075,,Colisão
,2019-06-11T18:23:48.212992+00:00,2019-06-11T18:23:48.213043+00:00,2018-12-09T10:00:00+00:00,2018-12-09T10:00:00+00:00,-23.5505,-46.7482,None,None,None,None,None,None,None,None,None,2,0,AV PRES ALTINO,Vítimas Feridas,1,Colisão,cf168585-44fb-4f48-97a4-2a70f240caa8,1,,D121801329,,Colisão
,2019-06-11T18:26:11.917343+00:00,2019-06-11T18:26:11.917397+00:00,2018-12-08T23:31:00+00:00,2018-12-08T23:31:00+00:00,-23.4664,-46.67,None,None,None,None,None,None,None,None,None,2,0,R JOSE PEDRO D'ORO,Vítimas Feridas,1,Colisão,3188f892-b8a8-467a-bab5-15ba56da3fe1,1,,D121803420,,Colisão
,2019-06-11T18:25:37.397961+00:00,2019-06-11T18:25:37.398015+00:00,2018-12-08T04:58:00+00:00,2018-12-08T04:58:00+00:00,-23.5558,-46.6832,None,None,None,None,None,None,None,None,None,2,0,SEM DENOMINACAO,Vítimas Feridas,1,Colisão,778d5676-c4dc-431a-8f99-dc314a27de6b,1,,D121802845,,Colisão
,2019-06-11T18:25:57.765327+00:00,2019-06-11T18:25:57.765379+00:00,2018-12-06T19:00:00+00:00,2018-12-06T19:00:00+00:00,-23.6847,-46.7792,None,None,None,None,None,None,None,None,None,2,0,R ABILIO CESAR,Vítimas Feridas,1,Colisão,f8e0e61a-35d9-41ce-b3b3-52d7b4f99562,1,,D121803167,,Colisão
,2019-06-11T18:23:27.475239+00:00,2019-06-11T18:23:27.475269+00:00,2018-12-06T15:30:00+00:00,2018-12-06T15:30:00+00:00,-23.5172,-46.5664,None,None,None,None,None,None,None,None,None,2,0,R SOLD ABILIO FERNANDES DOS SANTOS,Vítimas Feridas,1,Colisão,c7709791-58ed-49ab-9924-63466a31c420,1,,D121801046,,Colisão
,2019-06-11T18:25:21.475412+00:00,2019-06-11T18:25:21.475466+00:00,2018-12-06T11:00:00+00:00,2018-12-06T11:00:00+00:00,-23.5419,-46.7188,None,None,None,None,None,None,None,None,None,2,0,AV PDE PEREIRA DE ANDRADE,Vítimas Feridas,1,Colisão,4d78aa11-ecf4-4f0d-8675-d60ef689d2ef,1,,D121802589,,Colisão
,2019-06-11T18:23:40.791463+00:00,2019-06-11T18:23:40.791516+00:00,2018-12-06T01:50:00+00:00,2018-12-06T01:50:00+00:00,-23.6471,-46.6398,None,None,None,None,None,None,None,None,None,1,0,R DOS COMERCIARIOS,Vítimas Feridas,1,Sem informações,c91911ba-6d5d-48fb-aa2f-592d696f9762,1,,D121801210,,Sem informações
,2019-06-11T18:22:34.412802+00:00,2019-06-11T18:22:34.412854+00:00,2018-12-05T15:45:00+00:00,2018-12-05T15:45:00+00:00,-23.5416,-46.6405,None,None,None,None,None,None,None,None,None,2,0,R DOS TIMBIRAS,Vítimas Feridas,1,Colisão,6d641fe3-7495-4e1f-b6b2-fbcd08a9c23d,1,,D121800445,,Colisão
,2019-06-11T18:24:22.353291+00:00,2019-06-11T18:24:22.353343+00:00,2018-12-04T20:52:00+00:00,2018-12-04T20:52:00+00:00,-23.5499,-46.5139,None,None,None,None,None,None,None,None,None,2,0,PC NSRA DA GUIA,Vítimas Feridas,1,Colisão,58430f25-486a-43fe-a1da-dbd47d44bff4,1,,D121801808,,Colisão
,2019-06-11T18:25:27.663575+00:00,2019-06-11T18:25:27.663626+00:00,2018-12-04T14:20:00+00:00,2018-12-04T14:20:00+00:00,-23.5288,-46.6539,None,None,None,None,None,None,None,None,None,2,0,R SOUSA LIMA,Vítimas Feridas,2,Colisão,bd415afe-d4ba-4853-a204-9dfbef3aaa34,2,,D121802674,,Colisão
,2019-06-11T18:21:57.229042+00:00,2019-06-11T18:21:57.229094+00:00,2018-12-04T14:09:00+00:00,2018-12-04T14:09:00+00:00,-23.6019,-46.6108,None,None,None,None,None,None,None,None,None,2,0,R VINTE E OITO DE SETEMBRO,Vítimas Feridas,1,Colisão,4e9d1487-eea0-4e66-a5f1-a1756d880270,1,,D121800066,,Colisão
,2019-06-11T18:26:03.808260+00:00,2019-06-11T18:26:03.808313+00:00,2018-12-04T08:35:00+00:00,2018-12-04T08:35:00+00:00,-23.5511,-46.5309,None,None,None,None,None,None,None,None,None,2,0,PC DUERE,Vítimas Feridas,1,Colisão,a5704d0a-b359-45bc-97ee-c9dd3a46c1a5,1,,D121803265,,Colisão
,2019-06-11T18:22:17.649574+00:00,2019-06-11T18:22:17.649628+00:00,2018-12-04T08:20:00+00:00,2018-12-04T08:20:00+00:00,-23.5512,-46.4394,None,None,None,None,None,None,None,None,None,2,0,AV PROF JOAO BATISTA CONTI,Vítimas Feridas,1,Colisão,91a3d21f-e962-4e91-a4ce-aa7ae6936e05,1,,D121800284,,Colisão
,2019-06-11T18:25:53.404528+00:00,2019-06-11T18:25:53.404571+00:00,2018-12-03T19:30:00+00:00,2018-12-03T19:30:00+00:00,-23.6172,-46.5037,None,None,None,None,None,None,None,None,None,2,0,R BATISTA FERGUSIO,Vítimas Feridas,1,Colisão,1e4a649c-57e4-416f-845c-5a36ef399466,1,,D121803061,,Colisão
,2019-06-11T18:24:59.730578+00:00,2019-06-11T18:24:59.730630+00:00,2018-12-03T19:14:00+00:00,2018-12-03T19:14:00+00:00,-23.5752,-46.6571,None,None,None,None,None,None,None,None,None,2,0,AV BRIG LUIS ANTONIO,Vítimas Feridas,1,Colisão,d6cc429d-28dc-47a5-a1bd-f80448c1a97b,1,,D121802293,,Colisão
,2019-06-11T18:23:01.674800+00:00,2019-06-11T18:23:01.674852+00:00,2018-12-02T07:00:00+00:00,2018-12-02T07:00:00+00:00,-23.5864,-46.7488,None,None,None,None,None,None,None,None,None,2,0,VIA RAPOSO TAVARES,Vítimas Feridas,1,Colisão,592083a7-4737-43ac-a2b7-cdb75d79cf9a,1,,D121800735,,Colisão
,2019-06-11T18:26:10.584278+00:00,2019-06-11T18:26:10.584333+00:00,2018-12-01T16:16:00+00:00,2018-12-01T16:16:00+00:00,-23.5367,-46.6282,None,None,None,None,None,None,None,None,None,2,0,R POSSIDONIO INACIO,Vítimas Feridas,1,Colisão,586352d3-2291-4d15-92c4-5b361ac8fd25,1,,D121803396,,Colisão
,2019-06-11T18:22:27.670489+00:00,2019-06-11T18:22:27.670539+00:00,2018-12-01T16:00:00+00:00,2018-12-01T16:00:00+00:00,-23.509,-46.5459,None,None,None,None,None,None,None,None,None,2,0,R ILHA DE TUPINAMBARANAS,Vítimas Feridas,1,Colisão,db23441e-2dd9-4d1e-86d4-62ac530afaab,1,,D121800376,,Colisão
,2019-06-11T18:21:16.340186+00:00,2019-06-11T18:21:16.340240+00:00,2018-11-30T21:50:00+00:00,2018-11-30T21:50:00+00:00,-23.5707,-46.6903,None,None,None,None,None,None,None,None,None,1,0,AV REBOUCAS,Vítimas Feridas,1,Atropelamento,e5183952-9996-4283-a8c2-d40e6ef965fe,1,,D111802696,,Atropelamento
,2019-06-11T18:18:14.882595+00:00,2019-06-11T18:18:14.882624+00:00,2018-11-30T01:00:00+00:00,2018-11-30T01:00:00+00:00,-23.7039,-46.7142,None,None,None,None,None,None,None,None,None,1,0,AV ATLANTICA,Vítimas Feridas,1,Choque,a735007b-ec4f-4bc7-88ba-68b59f133325,1,,D111800316,,Choque
