id_acidente,id_veiculo,TipoVeiculo,SexoCondutor,idade_condutor,CategoriaHabilitacao,UsaCintoSeguranca,EstadoAlcoolizacao,escolaridade
D021800002,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Sem Informação
D021800002,02,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800003,01,automóvel,Masculino,32,Sem Informação,Sem Informação,Branco,Sem Informação
D021800003,02,moto,Masculino,44,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800007,01,sem informação,Masculino,28,Sem Informação,Sem Informação,Branco,Superior
D021800010,01,moto,Masculino,34,Sem Informação,Sem Informação,Branco,Superior
D021800010,02,caminhonete,Masculino,45,Sem Informação,Sem Informação,Branco,Superior
D021800011,01,caminhão,Masculino,42,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800012,01,moto,Masculino,42,Sem Informação,Sem Informação,Branco,Sem Informação
D021800012,02,automóvel,Masculino,44,Sem Informação,Sem Informação,Branco,Sem Informação
D021800014,01,moto,Masculino,22,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800014,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800014,03,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800015,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800015,02,automóvel,Masculino,56,Sem Informação,Sem Informação,Branco,Superior
D021800017,01,moto,Masculino,65,Sem Informação,Sem Informação,Branco,Sem Informação
D021800019,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800019,02,moto,Masculino,38,Sem Informação,Sem Informação,Branco,Sem Informação
D021800021,01,automóvel,Masculino,54,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800022,01,automóvel,Masculino,61,Habilitado,Sem Informação,Branco,Sem Informação
D021800022,02,bicicleta,Masculino,74,Não Exigível,Sem Informação,Branco,Sem Informação
D021800026,01,caminhonete,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800026,02,automóvel,Masculino,57,Sem Informação,Sem Informação,Branco,Sem Informação
D021800028,01,moto,Masculino,17,Inabilitado,Sem Informação,Branco,Sem Informação
D021800028,02,caminhonete,Masculino,31,Sem Informação,Sem Informação,Branco,Sem Informação
D021800029,01,automóvel,Masculino,53,Sem Informação,Sem Informação,Branco,Sem Informação
D021800029,02,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Superior
D021800030,01,automóvel,Masculino,63,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800030,02,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800038,01,automóvel,Feminino,36,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800039,01,caminhonete,Masculino,36,Sem Informação,Sem Informação,Branco,Sem Informação
D021800040,01,ônibus,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800044,01,ônibus,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800052,01,moto,Masculino,34,Sem Informação,Sem Informação,Branco,Superior
D021800052,02,automóvel,Masculino,25,Sem Informação,Sem Informação,Branco,Sem Informação
D021800060,01,moto,Masculino,40,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800060,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800061,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800062,01,automóvel,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800062,02,moto,Masculino,57,Sem Informação,Sem Informação,Branco,Sem Informação
D021800063,01,moto,Masculino,17,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800067,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Sem Informação
D021800067,02,automóvel,Feminino,36,Sem Informação,Sem Informação,Branco,Superior
D021800070,01,moto,Masculino,45,Sem Informação,Sem Informação,Branco,Sem Informação
D021800070,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800071,01,automóvel,Masculino,48,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800071,02,automóvel,Masculino,55,Sem Informação,Sem Informação,Branco,Sem Informação
D021800074,01,moto,Masculino,29,Inabilitado,Sem Informação,Branco,Sem Informação
D021800080,01,automóvel,Masculino,38,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800080,02,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800081,01,moto,Masculino,35,Inabilitado,Sem Informação,Suspeita de Álcool,Sem Informação
D021800081,02,automóvel,Feminino,54,Sem Informação,Sem Informação,Branco,Superior
D021800084,01,moto,Feminino,SI,Sem Informação,Sem Informação,Branco,Superior
D021800084,02,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800093,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800097,01,moto,Masculino,32,Sem Informação,Sem Informação,Branco,Superior
D021800097,02,automóvel,Feminino,83,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800097,03,automóvel,Feminino,37,Sem Informação,Sem Informação,Branco,Superior
D021800098,01,caminhonete,Masculino,27,Inabilitado,Sem Informação,Branco,Sem Informação
D021800099,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
