gid,id,lote,codigo,endereco,sentido,referencia,tipo_equip,enquadrame,qtde_fxs_f,data_publi,velocidade,latitude_l,ligado,data_desli,motivo_des,mi_style,mi_prinx,geom,emme_gid,mdc_gid,autuacoes,contagem
174,11,1,6666,Av. Bráz Leme,Santana/Marginal,nº. 1.315,Fixo - Grupo A,V,3,2014/12/03 00:00:00.000,50 km/h,(-46.64660654782726112 -23.50684421366561239),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",266,0101000020E6100000FA7BA503C45247C0F6F8EF87C08137C0,2153,214599,624849,735
172,12,1,6667,Av. Engº. Caetano Alvares,Bairro/Centro,nº. 4.339,Fixo - Grupo A,V,2,2014/12/12 00:00:00.000,50 km/h,(-46.64633341117907861 -23.48705384348019365),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",264,0101000020E610000035DD8009BB5247C0293CAA92AF7C37C0,24608,125015,1237180,1794
517,13,1,6742 - 6743 - 6796 - 6797,"Marg. Tietê, Pista Expressa",Castelo Branco/Ayrton Senna,a menos 167m da Ponte Presidente Jânio Quadros,Fixo - Grupo A,V-R-Z,4,2014/12/31 00:00:00.000,90/60 km/h,(-46.59600837639777637 -23.52794743167591207),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",625,0101000020E6100000B0ACD1FE494C47C01B2C5A88278737C0,2702,249720,4636874,17838
533,14,1,6754 - 6753 - 6907-6908,"Marg. Tietê, Pista Expressa",Castelo Branco/Ayrton Senna,a menos 31m Ponte Vila Guilherme,Fixo - Grupo A,V-R-PR-VER,4,2015/03/10 00:00:00.000,90/60 km/h,(-46.61166479330452717 -23.52329704760323281),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",643,0101000020E61000000F792E004B4E47C0A5F14DCBF68537C0,13470,242953,5705694,26202
526,15,1,6672 - 6671 - 6881- 6906,"Marg. Tietê, Pista Expressa",Castelo Branco/Ayrton Senna,a menos 206m Ponte Freguesia do Ó,Fixo - Grupo A,V-R-Z-PR,4,2015/02/24 00:00:00.000,90/60 km/h,(-46.69154853843354402 -23.50920555531769907),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",635,0101000020E61000008005B49D845847C04EED0C535B8237C0,13033,187821,3806068,18407
173,16,1,6675,Av. Santa Inês,Centro/Bairro,nº. 3.200,Fixo - Grupo A,V,1,2015/01/16 00:00:00.000,60 km/h,(-46.64331166087639957 -23.46028332546434214),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",265,0101000020E6100000D828880D585247C081F4241BD57537C0,810,108108,590656,433
171,17,1,6676,Av. Santa Inês,Bairro/Centro,Oposto nº. 3.200,Fixo - Grupo A,V,1,2015/01/16 00:00:00.000,60 km/h,(-46.64244064845961191 -23.46038815527733234),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",263,0101000020E6100000C96760813B5247C0C55E41FDDB7537C0,810,108108,603436,365
176,18,1,6679 - 6684,Av. Guilherme Cotching,Centro/Bairro,nº. 1.238,Fixo - Grupo A,V-EX,3,2015/03/03 00:00:00.000,50 km/h,(-46.59024432546434014 -23.51913115900475049),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",269,0101000020E610000094BB321C8D4B47C0373D41C5E58437C0,19510,160371,213265,58
528,19,1,6680 - 6895,Av. Pres. Castelo Branco,Castelo Branco/Ayrton Senna,a mais 255m Ponte da Casa Verde,Fixo - Grupo A,V-R-VER,5,2015/03/10 00:00:00.000,60/50 km/h,(-46.65093585093503492 -23.51798315403485873),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",637,0101000020E61000004D32EEDD515347C010FC56889A8437C0,9449,12878,4807479,14611
511,20,1,6682 - 6681,"Marg. Tietê, Pista Expressa",Ayrton Senna/Castelo Branco,a menos 290m Ponte Julio de Mesquita Neto,Fixo - Grupo A,V-R-Z-PR,4,2014/12/31 00:00:00.000,90/60 km/h,(-46.67500099627257981 -23.51367366956576888),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",619,0101000020E6100000DD321267665647C04D921935808337C0,21273,87558,2726738,9884
